Auth_ID,Date Authorisation,Cust ID,Amount,Date Procedure,Region,Vulnerable,Notes
9000045,21/05/2020,1612,22.1,18/07/2020,London,FALSE,
9000046,21/05/2020,1998,4.68,30/06/2020,East,FALSE,
9000047,21/05/2020,2110,5.72,11/06/2020,East,FALSE,
9000048,21/05/2020,2104,5.03,11/08/2020,South,FALSE,
9000049,21/05/2020,2964,82.77,10/08/2020,London,FALSE,
9000050,21/05/2020,2306,-18.94,03/07/2020,South,FALSE,
9000051,21/05/2020,1476,15.69,15/07/2020,London,FALSE,
9000052,22/05/2020,2293,57.79,29/05/2020,North,FALSE,
9000053,22/05/2020,3699,36.15,25/06/2020,South,FALSE,
9000054,22/05/2020,3734,34.84,30/08/2020,London,FALSE,
9000055,22/05/2020,2956,42.85,29/08/2020,West,FALSE,
9000056,22/05/2020,3711,53.54,19/08/2020,West,FALSE,
9000057,22/05/2020,1769,34.08,19/06/2020,West,FALSE,
9000058,22/05/2020,1116,81.66,02/07/2020,West,FALSE,
9000059,22/05/2020,2448,-0.93,06/06/2020,South,FALSE,
9000060,22/05/2020,3902,48.61,27/06/2020,West,FALSE,
9000061,22/05/2020,2632,39.83,23/06/2020,West,FALSE,
9000062,22/05/2020,3732,0.03,12/08/2020,East,FALSE,
9000063,22/05/2020,2556,52.43,25/05/2020,London,FALSE,
9000064,22/05/2020,2347,69.53,02/07/2020,East,FALSE,
9000065,22/05/2020,3774,28.67,28/07/2020,West,FALSE,
9000066,22/05/2020,3555,17.67,31/05/2020,West,FALSE,
9000067,22/05/2020,3309,-1.09,26/08/2020,East,FALSE,
9000068,22/05/2020,1276,21.75,24/05/2020,West,FALSE,
9000069,22/05/2020,3662,30.66,16/07/2020,East,FALSE,
9000070,22/05/2020,2999,18.38,12/08/2020,East,FALSE,
9000071,23/05/2020,2684,10.1,28/07/2020,East,TRUE,
9000072,23/05/2020,2861,10.54,29/05/2020,East,FALSE,
9000073,23/05/2020,3836,71.74,29/06/2020,East,FALSE,
9000074,23/05/2020,3651,-8.88,18/07/2020,West,FALSE,
9000075,23/05/2020,3981,43.22,22/07/2020,South,FALSE,
9000076,23/05/2020,2769,19.62,07/08/2020,North,FALSE,
9000077,23/05/2020,2124,90.46,14/06/2020,North,FALSE,
9000078,23/05/2020,2039,5.04,28/05/2020,East,FALSE,
9000079,23/05/2020,1749,-10.9,24/05/2020,East,FALSE,
9000080,23/05/2020,2644,29.74,27/08/2020,South,FALSE,
9000081,23/05/2020,3633,19.72,20/06/2020,North,FALSE,
9000082,23/05/2020,3041,55.92,30/05/2020,West,FALSE,
9000083,23/05/2020,3113,13.73,29/06/2020,East,FALSE,
9000084,23/05/2020,2336,31.47,08/06/2020,East,FALSE,
9000085,23/05/2020,3261,20.36,10/06/2020,East,FALSE,
9000086,23/05/2020,2992,58.92,24/06/2020,London,FALSE,
9000087,23/05/2020,2176,25.14,12/07/2020,North,FALSE,
9000088,23/05/2020,3742,84.38,26/06/2020,North,FALSE,
9000089,23/05/2020,3208,35.43,16/06/2020,North,FALSE,
9000090,24/05/2020,1972,0.42,18/08/2020,East,FALSE,
9000091,24/05/2020,1053,74.82,30/05/2020,North,FALSE,
9000092,24/05/2020,2081,-2.72,30/07/2020,London,FALSE,
9000093,24/05/2020,2690,58.41,17/08/2020,East,FALSE,Complaint Associated
9000094,24/05/2020,1665,-14.77,05/07/2020,West,FALSE,
9000095,24/05/2020,3508,14.43,10/06/2020,South,FALSE,
9000096,24/05/2020,1495,17.18,08/06/2020,London,FALSE,
9000097,24/05/2020,3363,68.88,03/07/2020,East,FALSE,
9000098,24/05/2020,1315,-25.99,18/06/2020,West,FALSE,
9000099,24/05/2020,2719,71.64,11/08/2020,North,,
9000100,24/05/2020,3858,73.99,03/08/2020,East,FALSE,
9000101,24/05/2020,3429,26.58,07/07/2020,South,FALSE,
9000102,24/05/2020,3389,35.79,28/07/2020,South,FALSE,
9000103,24/05/2020,2670,50.36,25/06/2020,West,FALSE,
9000104,24/05/2020,3889,-34.49,28/06/2020,West,FALSE,
9000105,24/05/2020,3555,5.92,,West,FALSE,
9000106,24/05/2020,1545,12.81,27/07/2020,South,FALSE,
9000107,24/05/2020,1490,27.31,14/08/2020,East,FALSE,
9000108,24/05/2020,1555,24.71,01/06/2020,West,FALSE,
9000109,25/05/2020,1938,19.37,10/07/2020,North,FALSE,
9000110,25/05/2020,3152,91.74,03/07/2020,North,FALSE,
9000111,25/05/2020,2127,-6.26,09/07/2020,East,FALSE,
9000112,25/05/2020,2640,30.98,23/07/2020,South,FALSE,
9000113,25/05/2020,3714,11.48,31/07/2020,London,FALSE,
9000114,25/05/2020,3555,33.47,31/07/2020,West,FALSE,
9000115,25/05/2020,2483,9.77,08/08/2020,East,FALSE,
9000116,25/05/2020,1928,32.88,24/06/2020,London,FALSE,
9000117,25/05/2020,2039,38.88,05/06/2020,East,FALSE,
9000118,25/05/2020,3767,-23.24,28/07/2020,South,FALSE,
9000119,25/05/2020,1508,40.31,20/07/2020,North,FALSE,
9000120,25/05/2020,3871,22.01,29/06/2020,East,FALSE,
9000121,25/05/2020,3909,61.77,21/08/2020,West,FALSE,
9000122,25/05/2020,3762,37.4,18/07/2020,East,FALSE,Policy expired
9000123,25/05/2020,1609,11.87,28/05/2020,East,FALSE,
9000124,25/05/2020,3354,-4.52,10/07/2020,East,FALSE,
9000125,25/05/2020,2325,10.75,04/08/2020,West,FALSE,
9000126,25/05/2020,1568,68.21,13/06/2020,West,FALSE,
9000127,25/05/2020,1473,64.75,25/07/2020,North,FALSE,
9000128,25/05/2020,1398,37.99,04/06/2020,South,FALSE,
9000129,26/05/2020,2067,66.68,06/08/2020,North,FALSE,
9000130,26/05/2020,3501,9.78,04/07/2020,North,FALSE,
9000131,26/05/2020,3708,57.34,29/07/2020,London,FALSE,
9000132,26/05/2020,2272,-12.8,29/05/2020,London,FALSE,
9000133,26/05/2020,2316,30.38,01/06/2020,London,FALSE,
9000134,26/05/2020,1681,15.71,13/06/2020,West,FALSE,
9000135,26/05/2020,3227,-4.5,21/08/2020,South,FALSE,
9000136,26/05/2020,3544,10.02,28/06/2020,East,FALSE,
9000137,26/05/2020,3659,12.22,04/06/2020,South,FALSE,
9000138,26/05/2020,2289,53.07,26/06/2020,North,FALSE,
9000139,26/05/2020,2047,-24.54,28/06/2020,South,FALSE,
9000140,26/05/2020,1900,58.21,20/08/2020,South,FALSE,
9000141,26/05/2020,1388,13.8,18/07/2020,East,FALSE,
9000142,26/05/2020,3193,5.85,05/06/2020,East,FALSE,
9000143,26/05/2020,1253,11.59,17/06/2020,North,FALSE,
9000144,26/05/2020,2213,43.78,07/06/2020,North,FALSE,
9000145,26/05/2020,2647,40.73,23/07/2020,West,TRUE,
9000146,26/05/2020,3301,51.64,16/08/2020,London,FALSE,
9000147,26/05/2020,2945,31.81,27/05/2020,London,FALSE,
9000148,26/05/2020,2042,34.27,04/08/2020,South,FALSE,
9000149,27/05/2020,3859,9.25,11/08/2020,East,FALSE,
9000150,27/05/2020,3593,22.08,25/08/2020,London,FALSE,
9000151,27/05/2020,2955,5.99,09/08/2020,West,FALSE,
9000152,27/05/2020,1472,33.67,19/08/2020,North,FALSE,
9000153,27/05/2020,1088,11.85,16/06/2020,North,FALSE,
9000154,27/05/2020,1418,10.77,29/07/2020,North,FALSE,
9000155,27/05/2020,3607,-25.74,10/08/2020,North,FALSE,
9000156,27/05/2020,2143,-21.96,09/06/2020,London,FALSE,
9000157,27/05/2020,3370,27.59,07/08/2020,London,FALSE,
9000158,27/05/2020,3159,6.47,13/07/2020,South,FALSE,
9000159,27/05/2020,2503,29.6,28/06/2020,East,FALSE,
9000160,27/05/2020,2280,53.15,14/08/2020,East,FALSE,
9000161,27/05/2020,2019,-7.6,19/07/2020,North,FALSE,
9000162,27/05/2020,1972,58.14,20/06/2020,East,FALSE,
9000163,27/05/2020,3651,13.92,05/06/2020,West,FALSE,
9000164,27/05/2020,2343,26.33,24/08/2020,East,,
9000165,27/05/2020,2123,43,23/07/2020,East,FALSE,
9000166,27/05/2020,1227,-14.21,26/08/2020,South,FALSE,
9000167,27/05/2020,1282,37.3,25/06/2020,South,FALSE,
9000168,27/05/2020,2983,1.9,30/07/2020,South,FALSE,
9000169,27/05/2020,1714,28.73,09/07/2020,South,FALSE,
9000170,28/05/2020,1628,64.93,25/07/2020,West,FALSE,
9000171,28/05/2020,1530,83.84,28/08/2020,East,FALSE,
9000172,28/05/2020,2953,57.24,29/05/2020,East,FALSE,
9000173,28/05/2020,1335,38.94,11/08/2020,London,FALSE,
9000174,28/05/2020,1036,61.12,30/06/2020,West,FALSE,
9000175,28/05/2020,2712,29.71,01/09/2020,London,FALSE,
9000176,28/05/2020,2153,17.6,05/07/2020,North,FALSE,
9000177,28/05/2020,3872,10.84,07/08/2020,London,FALSE,
9000178,28/05/2020,3779,84.66,01/09/2020,South,FALSE,
9000179,28/05/2020,1876,37.18,20/07/2020,East,FALSE,
9000180,28/05/2020,1530,42.39,25/08/2020,East,FALSE,
9000181,28/05/2020,1020,62.66,03/09/2020,London,FALSE,
9000182,28/05/2020,1715,37.46,,North,FALSE,
9000183,28/05/2020,1864,13.61,,North,FALSE,
9000184,28/05/2020,3136,22.12,,North,FALSE,
9000185,28/05/2020,2516,52.49,,East,FALSE,
9000186,28/05/2020,1301,100.34,,East,FALSE,
9000187,28/05/2020,3868,15.95,,West,FALSE,
9000188,29/05/2020,2720,49.22,,London,,
9000189,29/05/2020,2340,49.4,,London,FALSE,
9000190,29/05/2020,3386,-45.8,,South,FALSE,
9000191,29/05/2020,1652,53.8,,North,FALSE,
9000192,29/05/2020,1770,-25.95,21/06/2020,North,FALSE,
9000193,29/05/2020,1083,58.02,02/07/2020,London,FALSE,
9000194,29/05/2020,3496,30.22,01/07/2020,West,FALSE,
9000195,29/05/2020,2742,23.53,08/07/2020,East,FALSE,
9000196,29/05/2020,3354,64.46,31/07/2020,East,FALSE,
9000197,29/05/2020,2170,64.48,29/08/2020,London,FALSE,
9000198,29/05/2020,3767,36.08,28/08/2020,South,FALSE,
9000199,29/05/2020,3625,9.28,03/09/2020,South,FALSE,
9000200,29/05/2020,2102,9.39,22/07/2020,West,FALSE,
9000201,29/05/2020,2917,-0.86,06/08/2020,North,FALSE,
9000202,29/05/2020,1401,31.74,29/08/2020,South,FALSE,
9000203,29/05/2020,1564,66.74,23/08/2020,London,FALSE,
9000204,29/05/2020,2973,43.29,09/08/2020,East,FALSE,
9000205,29/05/2020,1939,12.61,28/06/2020,South,FALSE,
9000206,29/05/2020,3817,48.37,13/07/2020,London,FALSE,
9000207,29/05/2020,2398,104.12,03/09/2020,East,FALSE,
9000208,30/05/2020,3241,17.1,04/06/2020,East,FALSE,
9000209,30/05/2020,3680,38.34,15/06/2020,South,FALSE,
9000210,30/05/2020,3780,6.3,14/07/2020,North,FALSE,
9000211,30/05/2020,1284,45.84,03/06/2020,South,FALSE,
9000212,30/05/2020,2300,44.33,31/05/2020,London,FALSE,
9000213,30/05/2020,1570,28.9,17/08/2020,South,FALSE,
9000214,30/05/2020,1075,25.17,,East,FALSE,
9000215,30/05/2020,1972,6.19,08/07/2020,East,FALSE,
9000216,30/05/2020,1948,47.71,21/07/2020,East,FALSE,
9000217,30/05/2020,2437,50.84,22/07/2020,West,FALSE,
9000218,30/05/2020,2030,67,28/08/2020,East,FALSE,
9000219,30/05/2020,3980,10.6,27/08/2020,South,FALSE,
9000220,30/05/2020,1396,28.52,28/08/2020,East,FALSE,
9000221,30/05/2020,1580,41.57,24/08/2020,West,FALSE,
9000222,30/05/2020,1909,18.63,25/08/2020,South,FALSE,
9000223,30/05/2020,2625,10.87,13/08/2020,North,FALSE,
9000224,30/05/2020,2247,20.29,11/06/2020,East,FALSE,
9000225,30/05/2020,3846,17.81,13/06/2020,South,FALSE,
9000226,31/05/2020,3480,-2.42,16/06/2020,West,FALSE,
9000227,31/05/2020,3871,67.74,24/08/2020,East,FALSE,
9000228,31/05/2020,2619,-13.49,20/07/2020,West,FALSE,
9000229,31/05/2020,1894,24.91,08/07/2020,South,FALSE,
9000230,31/05/2020,3886,19.46,16/08/2020,South,FALSE,
9000231,31/05/2020,1909,34.46,14/07/2020,South,FALSE,
9000232,31/05/2020,1060,32.39,27/06/2020,North,FALSE,
9000233,31/05/2020,2550,57.71,10/06/2020,West,FALSE,
9000234,31/05/2020,3607,33.64,06/08/2020,North,FALSE,
9000235,31/05/2020,1338,-19.37,22/08/2020,South,FALSE,
9000236,31/05/2020,1363,70.11,03/09/2020,West,FALSE,
9000237,31/05/2020,3798,18.09,23/06/2020,West,FALSE,
9000238,31/05/2020,3005,1.84,02/08/2020,West,FALSE,
9000239,31/05/2020,1691,-11.53,10/07/2020,South,FALSE,
9000240,31/05/2020,1937,71.66,24/06/2020,London,FALSE,
9000241,31/05/2020,3499,27.19,25/07/2020,South,FALSE,
9000242,31/05/2020,1164,18.61,16/08/2020,North,FALSE,
9000243,31/05/2020,1242,30.93,13/08/2020,West,FALSE,
9000244,31/05/2020,2082,18.07,12/06/2020,South,FALSE,
9000245,31/05/2020,2050,20.1,24/08/2020,North,FALSE,
9000246,01/06/2020,3784,-5.85,24/07/2020,London,FALSE,
9000247,01/06/2020,1229,9.93,06/09/2020,London,FALSE,
9000248,01/06/2020,2678,34.56,10/06/2020,South,FALSE,
9000249,01/06/2020,1608,54.95,20/06/2020,South,FALSE,
9000250,01/06/2020,3449,41.65,27/08/2020,North,FALSE,
9000251,01/06/2020,1974,-42.03,06/08/2020,South,FALSE,
9000252,01/06/2020,3565,-13.53,23/07/2020,East,FALSE,
9000253,01/06/2020,1049,10.6,16/07/2020,South,FALSE,
9000254,01/06/2020,2917,15.74,27/08/2020,North,FALSE,
9000255,01/06/2020,1979,33.68,20/07/2020,London,FALSE,
9000256,01/06/2020,3378,69.42,09/09/2020,West,FALSE,
9000257,01/06/2020,1635,21.88,,North,FALSE,
9000258,01/06/2020,1159,41.79,20/07/2020,East,FALSE,
9000259,01/06/2020,3507,24.17,03/06/2020,North,FALSE,
9000260,01/06/2020,3180,126.47,,West,FALSE,
9000261,01/06/2020,1421,48.64,20/08/2020,West,FALSE,
9000262,01/06/2020,3954,69.2,09/06/2020,South,FALSE,
9000263,01/06/2020,2430,-25.29,03/09/2020,London,FALSE,
9000264,01/06/2020,3723,50.87,27/07/2020,South,FALSE,
9000265,01/06/2020,3123,60.36,05/06/2020,East,FALSE,
9000266,02/06/2020,1506,64.37,12/07/2020,South,FALSE,
9000267,02/06/2020,3180,6.24,22/08/2020,West,FALSE,
9000268,02/06/2020,3035,-17.39,21/06/2020,North,FALSE,
9000269,02/06/2020,2633,25.09,14/07/2020,North,FALSE,
9000270,02/06/2020,3249,9.52,29/07/2020,North,FALSE,
9000271,02/06/2020,1824,34.31,22/06/2020,London,FALSE,
9000272,02/06/2020,1760,22.23,04/08/2020,South,FALSE,
9000273,02/06/2020,1157,59.77,14/06/2020,West,FALSE,
9000274,02/06/2020,1313,8.8,22/07/2020,London,FALSE,
9000275,02/06/2020,2263,-9.17,14/07/2020,East,FALSE,
9000276,02/06/2020,1162,-23.21,14/08/2020,South,FALSE,
9000277,02/06/2020,2431,-15.05,31/08/2020,London,FALSE,
9000278,02/06/2020,1062,5.78,01/09/2020,West,FALSE,
9000279,02/06/2020,1279,14.39,21/06/2020,East,FALSE,
9000280,02/06/2020,3367,38.56,26/07/2020,West,FALSE,
9000281,02/06/2020,2428,38.39,03/06/2020,London,FALSE,
9000282,02/06/2020,1985,-6.1,15/07/2020,East,FALSE,
9000283,02/06/2020,1396,25.62,30/06/2020,East,FALSE,
9000284,03/06/2020,2967,11.23,01/07/2020,North,FALSE,
9000285,03/06/2020,2078,28.18,01/09/2020,West,FALSE,
9000286,03/06/2020,3812,9.9,25/08/2020,London,FALSE,
9000287,03/06/2020,2545,15.52,20/07/2020,West,FALSE,
9000288,03/06/2020,3218,21.84,22/06/2020,East,FALSE,
9000289,03/06/2020,3489,31.18,13/06/2020,East,FALSE,
9000290,03/06/2020,3065,44.09,29/07/2020,South,FALSE,
9000291,03/06/2020,3428,30.64,09/06/2020,East,FALSE,
9000292,03/06/2020,2316,40.05,30/06/2020,London,FALSE,
9000293,03/06/2020,1858,79.07,08/08/2020,North,FALSE,
9000294,03/06/2020,3418,76.81,11/07/2020,London,FALSE,
9000295,03/06/2020,2302,7.32,09/06/2020,London,FALSE,
9000296,03/06/2020,2437,1.66,20/07/2020,West,FALSE,
9000297,03/06/2020,2718,30.05,11/08/2020,West,,
9000298,03/06/2020,1443,38.44,20/08/2020,South,FALSE,
9000299,03/06/2020,1818,43.47,08/09/2020,London,FALSE,
9000300,03/06/2020,3038,25.08,07/08/2020,West,FALSE,
9000301,03/06/2020,2698,61.56,26/06/2020,North,FALSE,
9000302,04/06/2020,2471,39.68,13/06/2020,East,,
9000303,04/06/2020,3989,95.57,19/06/2020,North,FALSE,
9000304,04/06/2020,3561,80.59,24/06/2020,East,FALSE,
9000305,04/06/2020,1349,33,30/06/2020,East,FALSE,
9000306,04/06/2020,3909,0.95,03/09/2020,West,FALSE,
9000307,04/06/2020,2357,36.93,02/09/2020,South,FALSE,
9000308,04/06/2020,2021,31.31,14/06/2020,London,FALSE,
9000309,04/06/2020,2945,53.27,27/07/2020,London,FALSE,
9000310,04/06/2020,2623,45.96,08/06/2020,West,FALSE,
9000311,04/06/2020,1561,71.43,03/07/2020,West,FALSE,
9000312,04/06/2020,3602,-36.42,27/06/2020,London,FALSE,
9000313,04/06/2020,1103,48.25,08/06/2020,West,FALSE,
9000314,04/06/2020,1287,17.94,06/08/2020,South,FALSE,
9000315,04/06/2020,1604,21.43,03/08/2020,London,FALSE,
9000316,04/06/2020,1369,-25.91,26/06/2020,East,FALSE,
9000317,04/06/2020,2998,7.74,07/09/2020,West,FALSE,
9000318,04/06/2020,2472,38.8,09/07/2020,West,,
9000319,04/06/2020,2065,21.44,08/09/2020,London,FALSE,
9000320,04/06/2020,2611,75.42,16/06/2020,North,FALSE,
9000321,04/06/2020,2500,29.87,07/08/2020,North,FALSE,
9000322,04/06/2020,2866,31.86,31/08/2020,South,TRUE,
9000323,05/06/2020,2299,64.53,08/06/2020,London,FALSE,
9000324,05/06/2020,2871,-40.42,20/08/2020,North,FALSE,
9000325,05/06/2020,3070,47.61,29/07/2020,South,FALSE,
9000326,05/06/2020,3907,53.47,01/07/2020,West,FALSE,
9000327,05/06/2020,1575,4.47,26/06/2020,South,FALSE,
9000328,05/06/2020,3175,33.73,27/08/2020,London,FALSE,
9000329,05/06/2020,2703,30.92,29/06/2020,North,FALSE,
9000330,05/06/2020,2382,31.96,18/06/2020,West,FALSE,
9000331,05/06/2020,2176,-2.69,20/08/2020,North,FALSE,
9000332,05/06/2020,1892,50.98,24/08/2020,North,FALSE,
9000333,05/06/2020,3050,24.31,14/08/2020,East,FALSE,
9000333,05/06/2020,3050,24.31,14/08/2020,East,FALSE,
9000334,05/06/2020,3993,-1.28,16/06/2020,East,FALSE,
9000335,05/06/2020,1963,-12.12,14/06/2020,West,FALSE,
9000336,05/06/2020,2261,56.75,15/07/2020,South,FALSE,
9000337,05/06/2020,3230,42.36,22/06/2020,London,FALSE,
9000338,05/06/2020,1412,8.73,04/08/2020,London,FALSE,
9000339,05/06/2020,3579,31.56,20/07/2020,East,FALSE,
9000340,05/06/2020,1503,11.86,23/06/2020,East,FALSE,
9000341,05/06/2020,2015,-55.56,13/09/2020,South,FALSE,
9000342,05/06/2020,2692,38.42,25/06/2020,South,FALSE,
9000343,05/06/2020,2604,-2.1,02/09/2020,South,FALSE,
9000344,05/06/2020,2769,21.33,08/09/2020,North,FALSE,
9000345,06/06/2020,1134,21.13,24/08/2020,East,FALSE,
9000346,06/06/2020,1509,9.03,24/08/2020,West,FALSE,
9000347,06/06/2020,2995,17.1,23/08/2020,West,FALSE,
9000348,06/06/2020,3104,84.38,03/09/2020,West,FALSE,
9000349,06/06/2020,3127,32.99,29/06/2020,South,FALSE,
9000350,06/06/2020,3056,47.57,26/06/2020,East,FALSE,
9000351,06/06/2020,3261,46.59,25/07/2020,East,FALSE,
9000352,06/06/2020,1901,15.97,05/09/2020,East,FALSE,
9000353,06/06/2020,1741,3.37,23/07/2020,East,FALSE,
9000354,06/06/2020,3117,15.04,22/06/2020,North,FALSE,
9000355,06/06/2020,2205,62.59,11/08/2020,East,FALSE,
9000356,06/06/2020,3324,14.91,26/06/2020,North,FALSE,
9000357,06/06/2020,2803,25.78,20/06/2020,South,FALSE,
9000358,06/06/2020,1312,56.22,07/09/2020,North,FALSE,
9000359,06/06/2020,1097,26.51,13/07/2020,London,FALSE,
9000360,06/06/2020,1259,11.41,15/07/2020,North,FALSE,
9000361,06/06/2020,3814,37.72,24/07/2020,North,FALSE,
9000362,07/06/2020,2256,28.08,02/08/2020,London,FALSE,
9000363,07/06/2020,2061,69.63,05/07/2020,South,FALSE,
9000364,07/06/2020,1563,-33.09,26/08/2020,North,FALSE,
9000365,07/06/2020,2018,-21.58,10/08/2020,West,FALSE,
9000366,07/06/2020,1008,-10.45,16/08/2020,North,FALSE,
9000367,07/06/2020,2516,22.03,05/09/2020,East,FALSE,
9000368,07/06/2020,3961,3.79,14/08/2020,West,FALSE,
9000369,07/06/2020,3549,-53.41,21/06/2020,London,FALSE,
9000370,07/06/2020,3265,33.47,29/08/2020,East,FALSE,
9000371,07/06/2020,2716,16.9,11/08/2020,North,FALSE,
9000372,07/06/2020,1791,62.29,21/08/2020,East,FALSE,
9000373,07/06/2020,3770,71.75,27/07/2020,North,FALSE,
9000374,07/06/2020,2715,-37.25,25/06/2020,North,FALSE,
9000375,07/06/2020,2902,49.05,07/07/2020,West,FALSE,
9000376,07/06/2020,2396,93.83,02/08/2020,South,FALSE,
9000377,07/06/2020,1959,68.93,28/08/2020,London,FALSE,
9000378,07/06/2020,1900,62.67,24/06/2020,South,FALSE,
9000379,07/06/2020,3055,27.39,17/06/2020,London,FALSE,
9000380,07/06/2020,3665,41.4,04/08/2020,North,FALSE,
9000381,07/06/2020,1059,9.15,17/06/2020,London,FALSE,
9000382,07/06/2020,1451,73.48,27/07/2020,North,FALSE,
9000383,08/06/2020,2704,79.98,03/07/2020,East,FALSE,
9000384,08/06/2020,1730,46.29,10/06/2020,North,FALSE,
9000385,08/06/2020,1196,17.04,18/08/2020,South,FALSE,
9000386,08/06/2020,1752,102.62,09/08/2020,North,FALSE,
9000387,08/06/2020,3389,68.23,22/07/2020,South,FALSE,
9000388,08/06/2020,1930,-12.72,03/08/2020,North,FALSE,
9000389,08/06/2020,1167,44.07,16/09/2020,South,FALSE,
9000390,08/06/2020,1425,40.13,15/09/2020,South,FALSE,
9000391,08/06/2020,2829,28.54,09/07/2020,East,FALSE,
9000392,08/06/2020,3012,35.76,17/07/2020,East,TRUE,
9000393,08/06/2020,2594,34.16,29/06/2020,London,FALSE,
9000394,08/06/2020,2474,37.18,25/06/2020,East,,
9000395,08/06/2020,2474,0.65,30/08/2020,East,,
9000396,08/06/2020,3721,-20.49,24/06/2020,South,FALSE,
9000397,08/06/2020,3200,52.7,20/07/2020,East,FALSE,
9000398,08/06/2020,2452,78.69,15/06/2020,South,FALSE,
9000399,08/06/2020,2232,19.65,28/08/2020,East,FALSE,
9000400,08/06/2020,1713,22.95,27/06/2020,London,FALSE,
9000401,08/06/2020,1921,52.52,11/09/2020,East,FALSE,
9000402,09/06/2020,2089,48.58,13/06/2020,South,FALSE,
9000403,09/06/2020,1420,10.7,13/07/2020,South,FALSE,
9000403,09/06/2020,2436,10.7,03/08/2020,South,FALSE,
9000404,09/06/2020,3247,50.91,11/07/2020,West,FALSE,
9000405,09/06/2020,2345,-23.91,01/07/2020,London,FALSE,
9000406,09/06/2020,3176,-33.58,23/06/2020,North,FALSE,
9000407,09/06/2020,2404,78.34,12/08/2020,East,FALSE,
9000408,09/06/2020,2459,19.8,27/06/2020,London,FALSE,
9000409,09/06/2020,1565,36.32,19/07/2020,East,FALSE,
9000410,09/06/2020,2865,53.47,05/08/2020,West,FALSE,
9000411,09/06/2020,2227,12.51,30/07/2020,London,FALSE,
9000412,09/06/2020,1307,38.93,20/06/2020,London,FALSE,
9000413,09/06/2020,1968,69.71,17/07/2020,London,FALSE,
9000414,09/06/2020,1494,57.07,16/06/2020,East,FALSE,
9000415,09/06/2020,1352,25.46,18/08/2020,West,FALSE,
9000416,09/06/2020,2016,8.93,03/08/2020,South,FALSE,
9000417,09/06/2020,1887,76.79,03/09/2020,North,FALSE,
9000418,09/06/2020,2258,34.18,26/06/2020,North,FALSE,
9000419,09/06/2020,1685,41.62,14/09/2020,North,FALSE,
9000420,09/06/2020,2001,-50.08,20/07/2020,East,FALSE,
9000421,09/06/2020,3058,54.89,20/06/2020,East,FALSE,
